	tokens1Source	tokens1AlignRaw	tokens2Source	tokens2AlignRaw
3586	au	au	vous	vous
3587	mariage	mariage	parler	parler
3588	,	,	.	.
3589	moi	moi	Mais	Mais
3590	que	que	à	à
3591	les	les	quoi	quoi
3592	Livres	Livres	Diable	Diable
3593	ont	ont	vous	vous
3594	instruit	instruit	sert	sert
3595	des	des	de	de
3596	accidents	accidents	tourner	tourner
3597	qu	qu	ainsi	ainsi
3598	’	’	la	la
3599	il	il	Truie	Truie
3600	tire	tire	au	au
3601	à	à	foin	foin
3602	sa	sa	?	?
3603	cordelle	cordelle	Genevote	Genevote
3604	?	?	Plût	Plût
3605	Que	Que	à	à
3606	je	je	Dieu	Dieu
3607	me	me	que	que
3608	marie	marie	je	je
3609	ou	ou	pusse	pusse
3610	ne	ne	découvrir	découvrir
3611	me	me	ma	ma
3612	marie	marie	flamme	flamme
3613	pas	pas	à	à
3614	,	,	ton	ton
3615	je	je	Maître	Maître
3616	suis	suis	,	,
3617	assuré	assuré	sans	sans
3618	de	de	l	l
3619	me	me	’	’
3620	repentir	repentir	offenser	offenser
3621	.	.	!	!
3622	N	N	car	car
3623	’	’	je	je
3624	importe	importe	brûle	brûle
3625	,	,	pour	pour
3626	ma	ma	lui…	lui…
3627	femme	femme	Paquier	Paquier
3628	prétendue	prétendue	Ah	Ah
3629	n	n	!	!
3630	’	’	bon	bon
3631	est	est	,	,
3632	pas	pas	cela	cela
3633	grande	grande	.	.
3634	;	;	Genevote	Genevote
3635	ayant	ayant	D	D
3636	à	à	’	’
3637	vêtir	vêtir	un	un
3638	une	une	amour	amour
3639	haire	haire	si	si
3640	,	,	violent	violent
3641	je	je	,	,
3642	ne	ne	que	que
3643	la	la	je	je
3644	puis	puis	souhaiterais	souhaiterais
3645	prendre	prendre	qu	qu
3646	trop	trop	’	’
3647	courte	courte	une	une
3648	.	.	moitié	moitié
3649	On	On	de	de
3650	dit	dit	lui	lui
3651	cependant	cependant	devînt	devînt
3652	qu	qu	une	une
3653	’	’	moitié	moitié
3654	elle	elle	de	de
3655	veut	veut	moi	moi
3656	plastronner	plastronner	-	-
3657	sa	sa	même	même
3658	virginité	virginité	;	;
3659	contre	contre	mais	mais
3660	les	les	la	la
3661	estocades	estocades	glace	glace
3662	de	de	de	de
3663	mes	mes	son	son
3664	perfections	perfections	cœur…	cœur…
3665	.	.	Paquier	Paquier
3666	Hé	Hé	Eh	Eh
3667	!	!	bien	bien
3668	à	à	,	,
3669	d	d	ne	ne
3670	’	’	voilà	voilà
3671	autres	autres	pas	pas
3672	,	,	toujours	toujours
3673	un	un	quitter	quitter
3674	pucelage	pucelage	notre	notre
3675	est	est	propos	propos
3676	plus	plus	?	?
3677	difficile	difficile	Mais	Mais
3678	à	à	,	,
3679	porter	porter	ma	ma
3680	qu	qu	foi	foi
3681	’	’	,	,
3682	une	une	il	il
3683	cuirasse	cuirasse	n	n
3684	.	.	’	’
3685	Toutes	Toutes	en	en
3686	les	les	ira	ira
3687	femmes	femmes	pas	pas
3688	ne	ne	ainsi	ainsi
3689	sont	sont	.	.
3690	-	-	Il	Il
3691	elles	elles	y	y
3692	pas	pas	a	a
3693	semblables	semblables	trois	trois
3694	aux	aux	feux	feux
3695	arbres	arbres	dans	dans
3696	,	,	le	le
3697	pourquoi	pourquoi	monde	monde
3698	donc	donc	,	,
3699	ne	ne	Mademoiselle	Mademoiselle
3700	voudraient	voudraient	,	,
3701	-	-	le	le
3702	elles	elles	premier	premier
3703	pas	pas	est	est
3704	être	être	le	le
3705	arrosées	arrosées	feu	feu
3706	?	?	central	central
3707	«	«	;	;
3708	Ac	Ac	le	le
3709	primo	primo	second	second
3710	»	»	,	,
3711	comme	comme	le	le
3712	les	les	feu	feu
3713	arbres	arbres	vital	vital
3714	,	,	;	;
3715	elles	elles	et	et
3716	ont	ont	le	le
3717	plusieurs	plusieurs	troisième	troisième
3718	têtes	têtes	,	,
3719	;	;	le	le
3720	comme	comme	feu	feu
3721	les	les	élémentaire	élémentaire
3722	arbres	arbres	.	.
3723	,	,	Ce	Ce
3724	si	si	premier	premier
3725	elles	elles	en	en
3726	sont	sont	a	a
3727	ou	ou	trois	trois
3728	trop	trop	sous	sous
3729	ou	ou	soi	soi
3730	trop	trop	qui	qui
3731	peu	peu	ne	ne
3732	humectées	humectées	diffèrent	diffèrent
3733	,	,	que	que
3734	elles	elles	par	par
3735	ne	ne	les	les
3736	portent	portent	accidents	accidents
3737	point	point	:	:
3738	;	;	le	le
3739	comme	comme	feu	feu
3740	les	les	de	de
3741	arbres	arbres	collision	collision
3742	,	,	,	,
3743	elles	elles	le	le
3744	ont	ont	feu	feu
3745	les	les	d	d
3746	fleurs	fleurs	’	’
3747	auparavant	auparavant	attraction	attraction
3748	que	que	et	et
3749	les	les	le	le
3750	fruits	fruits	feu	feu
3751	;	;	de	de
3752	comme	comme	position	position
3753	les	les	.	.
3754	arbres	arbres	Genevote	Genevote
3755	,	,	As	As
3756	elles	elles	-	-
3757	déchargent	déchargent	tu	tu
3758	quand	quand	fait	fait
3759	on	on	dessein	dessein
3760	les	les	de	de
3761	secoue	secoue	continuer	continuer
3762	.	.	tes	tes
3763	Enfin	Enfin	extravagances	extravagances
3764	,	,	jusqu	jusqu
3765	Jean	Jean	’	’
3766	Despautère	Despautère	au	au
3767	le	le	bout	bout
3768	confirme	confirme	du	du
3769	,	,	jugement	jugement
3770	quand	quand	?	?
3771	il	il	Paquier	Paquier
3772	dit	dit	Mais	Mais
3773	«	«	vous	vous
3774	Arboris	Arboris	-	-
3775	est	est	même	même
3776	nomen	nomen	,	,
3777	muliebre	muliebre	avez	avez
3778	»	»	-	-
3779	.	.	vous	vous
3780	Mais	Mais	fait	fait
3781	je	je	dessein	dessein
3782	crois	crois	de	de
3783	que	que	me	me
3784	Paquier	Paquier	faire	faire
3785	a	a	enrager	enrager
3786	bu	bu	jusques	jusques
3787	de	de	à	à
3788	l	l	la	la
3789	’	’	fin	fin
3790	eau	eau	du	du
3791	du	du	monde	monde
3792	fleuve	fleuve	?	?
3793	Léthé	Léthé	Vous	Vous
3794	,	,	me	me
3795	ou	ou	venez	venez
3796	que	que	parler	parler
3797	mon	mon	de	de
3798	fils	fils	l	l
3799	s	s	’	’
3800	’	’	amour	amour
3801	approche	approche	que	que
3802	à	à	vous	vous
3803	pas	pas	portez	portez
3804	d	d	à	à
3805	’	’	mon	mon
3806	Écrevisse	Écrevisse	Maître	Maître
3807	;	;	:	:
3808	je	je	voilà	voilà
3809	m	m	de	de
3810	’	’	bonnes	bonnes
3811	en	en	sottises	sottises
3812	vais	vais	!	!
3813	«	«	(	(
3814	obviam	obviam	À	À
3815	»	»	part	part
3816	droit	droit	.	.
3817	à	à	)	)
3818	lui	lui	Mais	Mais
3819	.	.	où	où
3820	Scène	Scène	Diable	Diable
3821	4	4	pêcher	pêcher
3822	Charlot	Charlot	de	de
3823	,	,	nouveau	nouveau
3824	Paquier	Paquier	feu	feu
3825	.	.	?	?
3826	Charlot	Charlot	Ah	Ah
3827	Je	Je	!	!
3828	ne	ne	ma	ma
3829	puis	puis	foi	foi
3830	rien	rien	,	,
3831	comprendre	comprendre	j	j
3832	à	à	’	’
3833	ton	ton	en	en
3834	galimatias	galimatias	tiens	tiens
3835	.	.	.	.
3836	Paquier	Paquier	(	(
3837	Pour	Pour	Haut	Haut
3838	moi	moi	.	.
3839	,	,	)	)
3840	je	je	Mademoiselle	Mademoiselle
3841	ne	ne	,	,
3842	trouve	trouve	feu	feu
3843	rien	rien	votre	votre
3844	de	de	père	père
3845	si	si	et	et
3846	clair	clair	feu	feu
3847	.	.	votre	votre
3848	Charlot	Charlot	mère	mère
3849	Mais	Mais	avaient	avaient
3850	enfin	enfin	-	-
3851	,	,	ils	ils
3852	ne	ne	fort	fort
3853	me	me	aimé	aimé
3854	saurais	saurais	feu	feu
3855	-	-	leurs	leurs
3856	tu	tu	parents	parents
3857	dire	dire	?	?
3858	qui	qui	(	(
3859	c	c	À	À
3860	’	’	part	part
3861	est	est	.	.
3862	qui	qui	)	)
3863	me	me	Or	Or
3864	demande	demande	ça	ça
3865	?	?	,	,
3866	Paquier	Paquier	il	il
3867	Je	Je	me	me
3868	vous	vous	reste	reste
3869	dis	dis	encore	encore
3870	que	que	les	les
3871	c	c	«	«
3872	’	’	charbons	charbons
3873	est	est	»	»
3874	moi	moi	et	et
3875	.	.	les	les
3876	Charlot	Charlot	«	«
3877	Comment	Comment	traits	traits
3878	,	,	»	»
3879	toi	toi	.	.
3880	?	?	Genevote	Genevote
3881	Paquier	Paquier	Je	Je
3882	Je	Je	souhaiterais	souhaiterais
3883	ne	ne	autant	autant
3884	vous	vous	de	de
3885	dis	dis	science	science
3886	pas	pas	qu	qu
3887	moi	moi	’	’
3888	.	.	en	en
3889	Mais	Mais	a	a
3890	je	je	ton	ton
3891	vous	vous	Maître	Maître
3892	dis	dis	pour	pour
3893	que	que	répondre	répondre
3894	c	c	à	à
3895	’	’	son	son
3896	est	est	Disciple	Disciple
3897	,	,	.	.
3898	Moi	Moi	Paquier	Paquier
3899	;	;	Oh	Oh
3900	car	car	!	!
3901	il	il	mademoiselle	mademoiselle
3902	m	m	,	,
3903	’	’	je	je
3904	a	a	vous	vous
3905	dit	dit	souhaiterais	souhaiterais
3906	en	en	,	,
3907	partant	partant	non	non
3908	,	,	point	point
3909	dis	dis	autant	autant
3910	-	-	de	de
3911	lui	lui	science	science
3912	que	que	,	,
3913	c	c	mais	mais
3914	’	’	autant	autant
3915	est	est	de	de
3916	,	,	charbons	charbons
3917	Moi	Moi	,	,
3918	.	.	de	de
3919	Charlot	Charlot	peste	peste
3920	Ne	Ne	,	,
3921	serait	serait	et	et
3922	-	-	de	de
3923	ce	ce	clous	clous
3924	point	point	,	,
3925	mon	mon	qu	qu
3926	Père	Père	’	’
3927	que	que	il	il
3928	tu	tu	en	en
3929	veux	veux	a	a
3930	dire	dire	.	.
3931	?	?	(	(
3932	Paquier	Paquier	Genevote	Genevote
3933	Hé	Hé	rit	rit
3934	!	!	.	.
3935	vraiment	vraiment	)	)
3936	oui	oui	Quoi	Quoi
3937	.	.	!	!
3938	À	À	vous	vous
3939	propos	propos	en	en
3940	,	,	riez	riez
3941	je	je	?	?
3942	pense	pense	Et	Et
3943	qu	qu	je	je
3944	’	’	vous	vous
3945	il	il	proteste	proteste
3946	a	a	,	,
3947	envie	envie	moi	moi
3948	de	de	,	,
3949	vous	vous	qu	qu
3950	envoyer	envoyer	’	’
3951	sur	sur	à	à
3952	la	la	force	force
3953	Mer	Mer	de	de
3954	.	.	brûler	brûler
3955	Charlot	Charlot	,	,
3956	Hé	Hé	il	il
3957	!	!	s	s
3958	quoi	quoi	’	’
3959	faire	faire	est	est
3960	,	,	tellement	tellement
3961	Paquier	Paquier	noirci	noirci
3962	?	?	le	le
3963	Paquier	Paquier	corps	corps
3964	Il	Il	que	que
3965	ne	ne	,	,
3966	me	me	si	si
3967	l	l	vous	vous
3968	’	’	le	le
3969	a	a	voyiez	voyiez
3970	point	point	,	,
3971	dit	dit	vous	vous
3972	;	;	le	le
3973	mais	mais	prendriez	prendriez
3974	je	je	plutôt	plutôt
3975	crois	crois	pour	pour
3976	que	que	un	un
3977	c	c	grand	grand
3978	’	’	charbon	charbon
3979	est	est	que	que
3980	pour	pour	pour	pour
3981	voir	voir	un	un
3982	la	la	Docteur	Docteur
3983	campagne	campagne	.	.
3984	.	.	(	(
3985	Charlot	Charlot	À	À
3986	J	J	part	part
3987	’	’	.	.
3988	ai	ai	)	)
3989	trop	trop	J	J
3990	voyagé	voyagé	’	’
3991	,	,	en	en
3992	j	j	suis	suis
3993	’	’	maintenant	maintenant
3994	en	en	aux	aux
3995	suis	suis	traits	traits
3996	las	las	.	.
3997	.	.	Genevote	Genevote
3998	Paquier	Paquier	Tu	Tu
3999	Qui	Qui	lui	lui
4000	,	,	pourras	pourras
4001	vous	vous	témoigner	témoigner
4002	?	?	combien	combien
4003	je	je	je	je
4004	vais	vais	l	l
4005	gager	gager	’	’
4006	ce	ce	aime	aime
4007	chapeau	chapeau	,	,
4008	de	de	si	si
4009	Cocu	Cocu	tu	tu
4010	,	,	l	l
4011	qui	qui	’	’
4012	est	est	as	as
4013	un	un	compris	compris
4014	des	des	par	par
4015	vieux	vieux	mes	mes
4016	de	de	discours	discours
4017	votre	votre	;	;
4018	Père	Père	et	et
4019	,	,	cependant	cependant
4020	que	que	je	je
4021	vous	vous	suis	suis
4022	n	n	bien	bien
4023	’	’	assurée	assurée
4024	avez	avez	que	que
4025	jamais	jamais	son	son
4026	vu	vu	affection	affection
4027	la	la	n	n
4028	Mer	Mer	’	’
4029	que	que	est	est
4030	dans	dans	pas	pas
4031	une	une	réciproque	réciproque
4032	Huître	Huître	.	.
4033	à	à	Paquier	Paquier
4034	l	l	Pour	Pour
4035	’	’	cette	cette
4036	écaille	écaille	particularité	particularité
4037	.	.	,	,
4038	Charlot	Charlot	Mademoiselle	Mademoiselle
4039	Et	Et	,	,
4040	toi	toi	vous	vous
4041	,	,	avez	avez
4042	Paquier	Paquier	tort	tort
4043	,	,	de	de
4044	en	en	vous	vous
4045	as	as	mettre	mettre
4046	-	-	en	en
4047	tu	tu	peine	peine
4048	vu	vu	;	;
4049	davantage	davantage	car	car
4050	?	?	il	il
4051	Paquier	Paquier	proteste	proteste
4052	Oui	Oui	tout	tout
4053	-	-	haut	haut
4054	da	da	de	de
4055	!	!	se	se
4056	j	j	ressentir	ressentir
4057	’	’	des	des
4058	ai	ai	traits	traits
4059	vu	vu	que	que
4060	les	les	vous	vous
4061	Bons	Bons	lui	lui
4062	-	-	jouez	jouez
4063	Hommes	Hommes	;	;
4064	,	,	de	de
4065	Chaillot	Chaillot	réverbérer	réverbérer
4066	,	,	sur	sur
4067	Saint	Saint	vous	vous
4068	-	-	les	les
4069	Cloud	Cloud	traits	traits
4070	,	,	dont	dont
4071	Vaugirard	Vaugirard	vous	vous
4072	.	.	le	le
4073	Charlot	Charlot	navrez	navrez
4074	Et	Et	;	;
4075	qu	qu	et	et
4076	’	’	,	,
4077	y	y	de	de
4078	as	as	peur	peur
4079	-	-	que	que
4080	tu	tu	,	,
4081	remarqué	remarqué	par	par
4082	de	de	traits	traits
4083	beau	beau	de	de
4084	,	,	temps	temps
4085	Paquier	Paquier	,	,
4086	?	?	les	les
4087	Paquier	Paquier	traits	traits
4088	À	À	de	de
4089	la	la	votre	votre
4090	vérité	vérité	visage	visage
4091	,	,	ne	ne
4092	je	je	soient	soient
4093	ne	ne	offensés	offensés
4094	les	les	des	des
4095	vis	vis	traits	traits
4096	pas	pas	de	de
4097	trop	trop	la	la
4098	bien	bien	Mort	Mort
4099	,	,	,	,
4100	pour	pour	il	il
4101	ce	ce	vous	vous
4102	que	que	peint	peint
4103	les	les	avec	avec
4104	murailles	murailles	mille	mille
4105	m	m	beaux	beaux
4106	’	’	traits	traits
4107	empêchaient	empêchaient	d	d
4108	.	.	’	’
4109	Charlot	Charlot	esprit	esprit
4110	Je	Je	dans	dans
4111	pense	pense	un	un
4112	,	,	livre	livre
4113	ma	ma	intitulé	intitulé
4114	foi	foi	:	:
4115	,	,	La	La
4116	que	que	très	très
4117	tes	tes	belle	belle
4118	voyages	voyages	,	,
4119	n	n	très	très
4120	’	’	parfaite	parfaite
4121	ont	ont	et	et
4122	pas	pas	très	très
4123	été	été	accomplie	accomplie
4124	plus	plus	Genevote	Genevote
4125	longs	longs	,	,
4126	que	que	par	par
4127	sera	sera	son	son
4128	celui	celui	très	très
4129	dont	dont	humble	humble
4130	tu	tu	,	,
4131	me	me	très	très
4132	parles	parles	obéissant	obéissant
4133	.	.	et	et
4134	Va	Va	très	très
4135	,	,	affectionné	affectionné
4136	tu	tu	serviteur	serviteur
4137	peux	peux	,	,
4138	l	l	Granger	Granger
4139	’	’	.	.
4140	assurer	assurer	Genevote	Genevote
4141	que	que	,	,
4142	je	je	apercevant	apercevant
4143	ne	ne	Châteaufort	Châteaufort
4144	désire	désire	.	.
4145	pas…	pas…	Tu	Tu
4146	Scène	Scène	diras	diras
4147	5	5	à	à
4148	Granger	Granger	ton	ton
4149	,	,	Maître	Maître
4150	Charlot	Charlot	,	,
4151	,	,	que	que
4152	Paquier	Paquier	j	j
4153	.	.	’	’
4154	Granger	Granger	étais	étais
4155	Que	Que	venue	venue
4156	tu	tu	ici	ici
4157	demeures	demeures	pour	pour
4158	plus	plus	le	le
4159	longtemps	longtemps	voir	voir
4160	ici	ici	,	,
4161	?	?	mais	mais
4162	Vite	Vite	que	que
4163	,	,	l	l
4164	Charlot	Charlot	’	’
4165	,	,	arrivée	arrivée
4166	il	il	de	de
4167	faut	faut	ce	ce
4168	partir	partir	Capitaine	Capitaine
4169	.	.	m	m
4170	Songe	Songe	’	’
4171	à	à	a	a
4172	l	l	fait	fait
4173	’	’	en	en
4174	Adieu	Adieu	aller	aller
4175	dont	dont	.	.
4176	tu	tu	Je	Je
4177	prendras	prendras	reviendrai	reviendrai
4178	congé	congé	bientôt	bientôt
4179	des	des	.	.
4180	Dieux	Dieux	Adieu	Adieu
4181	-	-	.	.
4182	Foyers	Foyers	(	(
4183	,	,	Paquier	Paquier
4184	protecteurs	protecteurs	rentre	rentre
4185	du	du	au	au
4186	toit	toit	collège	collège
4187	paternel	paternel	.	.
4188	;	;	Châteaufort	Châteaufort
4189	car	car	resté	resté
4190	demain	demain	seul	seul
4191	l	l	se	se
4192	’	’	promène	promène
4193	Aurore	Aurore	devant	devant
4194	porte	porte	le	le
4195	-	-	collège	collège
4196	safran	safran	,	,
4197	ne	ne	essayant	essayant
4198	se	se	de	de
4199	sera	sera	voir	voir
4200	pas	pas	Manon	Manon
4201	plutôt	plutôt	.	.
4202	jetée	jetée	)	)
4203	des	des	Acte	Acte
4204	bras	bras	II	II
4205	de	de	Scène	Scène
4206	Tithon	Tithon	première	première
4207	dans	dans	Paquier	Paquier
4208	ceux	ceux	,	,
4209	de	de	Granger	Granger
4210	Céphale	Céphale	.	.
4211	qu	qu	Paquier	Paquier
4212	’	’	Car	Car
4213	il	il	,	,
4214	te	te	par	par
4215	faudra	faudra	les	les
4216	fier	fier	feux	feux
4217	à	à	je	je
4218	la	la	l	l
4219	discrétion	discrétion	’	’
4220	de	de	ai	ai
4221	Neptune	Neptune	brûlée	brûlée
4222	Guide	Guide	,	,
4223	-	-	par	par
4224	nefs	nefs	les	les
4225	.	.	charbons	charbons
4226	C	C	je	je
4227	’	’	l	l
4228	est	est	’	’
4229	à	à	ai	ai
4230	Venise	Venise	entêtée	entêtée
4231	où	où	et	et
4232	je	je	par	par
4233	t	t	les	les
4234	’	’	traits	traits
4235	envoie	envoie	je	je
4236	;	;	l	l
4237	«	«	’	’
4238	Tuus	Tuus	ai	ai
4239	enim	enim	percée	percée
4240	patruus	patruus	.	.
4241	»	»	Granger	Granger
4242	m	m	Ah	Ah
4243	’	’	!	!
4244	a	a	Paquier	Paquier
4245	mandé	mandé	tu	tu
4246	qu	qu	t	t
4247	’	’	’	’
4248	étant	étant	es	es
4249	orbe	orbe	aujourd	aujourd
4250	d	d	’	’
4251	’	’	hui	hui
4252	hoirs	hoirs	surpassé	surpassé
4253	mâles	mâles	toi	toi
4254	,	,	-	-
4255	il	il	même	même
4256	avait	avait	;	;
4257	besoin	besoin	mais	mais
4258	d	d	viens	viens
4259	’	’	chez	chez
4260	un	un	ma	ma
4261	personnage	personnage	maîtresse	maîtresse
4262	sur	sur	me	me
4263	la	la	voir	voir
4264	fidélité	fidélité	entrer	entrer
4265	duquel	duquel	dans	dans
4266	il	il	une	une
4267	pût	pût	place	place
4268	se	se	dont	dont
4269	reposer	reposer	tu	tu
4270	du	du	m	m
4271	maniement	maniement	’	’
4272	de	de	as	as
4273	ses	ses	ouvert	ouvert
4274	facultés	facultés	la	la
4275	.	.	brèche	brèche
4276	Puisque	Puisque	.	.
4277	donc	donc	Paquier	Paquier
4278	tu	tu	Ne	Ne
4279	n	n	courez	courez
4280	’	’	point	point
4281	as	as	si	si
4282	jamais	jamais	vite	vite
4283	voulu	voulu	;	;
4284	t	t	vous	vous
4285	’	’	cherchez	cherchez
4286	abreuver	abreuver	votre	votre
4287	aux	aux	âne	âne
4288	Marets	Marets	quand	quand
4289	,	,	vous	vous
4290	fils	fils	êtes	êtes
4291	de	de	dessus	dessus
4292	l	l	.	.
4293	’	’	Ne	Ne
4294	ongle	ongle	vous	vous
4295	du	du	ai	ai
4296	Cheval	Cheval	-	-
4297	emplumé	emplumé	je	je
4298	,	,	pas	pas
4299	et	et	dit	dit
4300	que	que	qu	qu
4301	la	la	’	’
4302	Lyrique	Lyrique	elle	elle
4303	harmonie	harmonie	vous	vous
4304	du	du	doit	doit
4305	savant	savant	venir	venir
4306	meurtrier	meurtrier	trouver	trouver
4307	de	de	ici	ici
4308	Python	Python	?	?
4309	n	n	Granger	Granger
4310	’	’	Il	Il
4311	a	a	m	m
4312	jamais	jamais	’	’
4313	enflé	enflé	en	en
4314	ta	ta	souvient…	souvient…
4315	parole	parole	Amour	Amour
4316	,	,	,	,
4317	essaie	essaie	petit	petit
4318	si	si	poupard	poupard
4319	,	,	,	,
4320	dans	dans	c	c
4321	la	la	’	’
4322	marchandise	marchandise	est	est
4323	,	,	à	à
4324	Mercure	Mercure	tes	tes
4325	aux	aux	côtés	côtés
4326	pieds	pieds	douillettement	douillettement
4327	ailés	ailés	frétillars	frétillars
4328	te	te	que	que
4329	prêtera	prêtera	je	je
4330	son	son	viens	viens
4331	Caducée	Caducée	perager	perager
4332	.	.	les	les
4333	Ainsi	Ainsi	reliques	reliques
4334	le	le	de	de
4335	turbulent	turbulent	la	la
4336	Éole	Éole	journée	journée
4337	te	te	!	!
4338	soit	soit	(	(
4339	aussi	aussi	Il	Il
4340	affable	affable	cherche	cherche
4341	qu	qu	dans	dans
4342	’	’	ses	ses
4343	aux	aux	poches	poches
4344	pacifiques	pacifiques	,	,
4345	Nids	Nids	tire	tire
4346	des	des	un	un
4347	Alcyons	Alcyons	petit	petit
4348	!	!	miroir	miroir
4349	Enfin	Enfin	et	et
4350	,	,	le	le
4351	Charlot	Charlot	donne	donne
4352	,	,	à	à
4353	il	il	Paquier	Paquier
4354	faut	faut	qui	qui
4355	partir	partir	le	le
4356	.	.	lui	lui
4357	Charlot	Charlot	tient	tient
4358	Pour	Pour	.	.
4359	où	où	)	)
4360	aller	aller	Plantons	Plantons
4361	,	,	-	-
4362	mon	mon	nous	nous
4363	père	père	diamétralement	diamétralement
4364	?	?	devant	devant
4365	Granger	Granger	ce	ce
4366	À	À	chef	chef
4367	Venise	Venise	-	-
4368	,	,	d	d
4369	mon	mon	’	’
4370	fils	fils	œuvre	œuvre
4371	.	.	vénitien	vénitien
4372	Charlot	Charlot	,	,
4373	Je	Je	et	et
4374	vois	vois	faisons	faisons
4375	bien	bien	avec	avec
4376	,	,	un	un
4377	Monsieur	Monsieur	compte	compte
4378	,	,	exact	exact
4379	que	que	la	la
4380	vous	vous	revue	revue
4381	voulez	voulez	de	de
4382	éprouver	éprouver	tous	tous
4383	si	si	les	les
4384	je	je	traits	traits
4385	serais	serais	de	de
4386	assez	assez	mon	mon
4387	lâche	lâche	visage	visage
4388	pour	pour	.	.
4389	vous	vous	Essayons	Essayons
4390	abandonner	abandonner	quel	quel
4391	,	,	personnage	personnage
4392	et	et	il	il
4393	par	par	nous	nous
4394	mon	mon	siéra	siéra
4395	absence	absence	mieux	mieux
4396	vous	vous	de	de
4397	arracher	arracher	représenter	représenter
4398	d	d	devant	devant
4399	’	’	elle	elle
4400	entre	entre	,	,
4401	les	les	de	de
4402	bras	bras	Caton	Caton
4403	un	un	ou	ou
4404	fils	fils	de	de
4405	unique	unique	Momus	Momus
4406	.	.	?	?
4407	Mais	Mais	(	(
4408	non	non	Il	Il
4409	,	,	rit	rit
4410	mon	mon	et	et
4411	père	père	il	il
4412	,	,	pleure	pleure
4413	si	si	en	en
4414	vos	vos	même	même
4415	tendresses	tendresses	temps	temps
4416	sont	sont	.	.
4417	assez	assez	)	)
4418	grandes	grandes	Quand	Quand
4419	pour	pour	je	je
4420	sacrifier	sacrifier	ris	ris
4421	votre	votre	,	,
4422	joie	joie	ma	ma
4423	à	à	mâchoire	mâchoire
4424	mon	mon	,	,
4425	avancement	avancement	ainsi	ainsi
4426	,	,	que	que
4427	mon	mon	la	la
4428	affection	affection	muraille	muraille
4429	est	est	d	d
4430	si	si	’	’
4431	forte	forte	une	une
4432	,	,	ville	ville
4433	qu	qu	battue	battue
4434	’	’	en	en
4435	elle	elle	ruines	ruines
4436	m	m	,	,
4437	’	’	découvre	découvre
4438	empêchera	empêchera	,	,
4439	de	de	à	à
4440	vous	vous	côté	côté
4441	obéir	obéir	droit	droit
4442	.	.	,	,
4443	Aussi	Aussi	une	une
4444	,	,	brèche	brèche
4445	quoique	quoique	à	à
4446	vous	vous	passer	passer
4447	puissiez	puissiez	vingt	vingt
4448	alléguer	alléguer	hommes	hommes
4449	,	,	.	.
4450	je	je	C	C
4451	demeurerai	demeurerai	’	’
4452	sans	sans	est	est
4453	cesse	cesse	pourquoi	pourquoi
4454	auprès	auprès	,	,
4455	de	de	mon	mon
4456	vous	vous	visage	visage
4457	et	et	,	,
4458	serai	serai	il	il
4459	votre	votre	vous	vous
4460	bâton	bâton	faut	faut
4461	de	de	styler	styler
4462	vieillesse	vieillesse	à	à
4463	.	.	ne	ne
4464	Granger	Granger	plus	plus
4465	Ce	Ce	rire	rire
4466	n	n	qu	qu
4467	’	’	’	’
4468	est	est	à	à
4469	pas	pas	gauche	gauche
4470	pour	pour	;	;
4471	prendre	prendre	et	et
4472	votre	votre	,	,
4473	avis	avis	pour	pour
4474	,	,	cet	cet
4475	mais	mais	effet	effet
4476	pour	pour	,	,
4477	vous	vous	je	je
4478	apprendre	apprendre	vais	vais
4479	ma	ma	marquer	marquer
4480	volonté	volonté	,	,
4481	,	,	sur	sur
4482	que	que	mes	mes
4483	je	je	joues	joues
4484	vous	vous	,	,
4485	ai	ai	de	de
4486	fait	fait	petits	petits
4487	venir	venir	points	points
4488	.	.	que	que
4489	Donc	Donc	je	je
4490	,	,	défends	défends
4491	demain	demain	à	à
4492	je	je	ma	ma
4493	vous	vous	bouche	bouche
4494	emmaillote	emmaillote	,	,
4495	dans	dans	quand	quand
4496	un	un	je	je
4497	Vaisseau	Vaisseau	rirai	rirai
4498	pendant	pendant	,	,
4499	que	que	d	d
4500	l	l	’	’
4501	’	’	outrepasser	outrepasser
4502	air	air	.	.
4503	est	est	(	(
4504	serein	serein	Il	Il
4505	;	;	sort	sort
4506	car	car	un	un
4507	s	s	bâton	bâton
4508	’	’	de	de
4509	il	il	noir	noir
4510	venait	venait	et	et
4511	à	à	marque	marque
4512	nébulifier	nébulifier	les	les
4513	,	,	points	points
4514	nous	nous	.	.
4515	sommes	sommes	)	)
4516	menacés	menacés	On	On
4517	,	,	m	m
4518	par	par	’	’
4519	les	les	a	a
4520	Centuries	Centuries	dit	dit
4521	de	de	que	que
4522	Nostradamus	Nostradamus	j	j
4523	,	,	’	’
4524	d	d	ai	ai
4525	’	’	la	la
4526	un	un	voix	voix
4527	temps	temps	un	un
4528	fort	fort	peu	peu
4529	incommode	incommode	cassée	cassée
4530	à	à	;	;
4531	la	la	il	il
4532	Navigation	Navigation	faut	faut
4533	.	.	surprendre	surprendre
4534	Charlot	Charlot	avec	avec
4535	C	C	l	l
4536	’	’	’	’
4537	est	est	oreille	oreille
4538	donc	donc	mon	mon
4539	sérieusement	sérieusement	image	image
4540	que	que	en	en
4541	vous	vous	ce	ce
4542	ordonnez	ordonnez	miroir	miroir
4543	de	de	,	,
4544	ce	ce	avant	avant
4545	voyage	voyage	qu	qu
