	tokens1Source	tokens1AlignRaw	tokens2Source	tokens2AlignRaw
2516	la	la	bonhomme	bonhomme
2517	Chine	Chine	,	,
2518	une	une	pour	pour
2519	basse	basse	tracer	tracer
2520	-	-	le	le
2521	cour	cour	plan	plan
2522	de	de	de	de
2523	votre	votre	cette	cette
2524	maison	maison	ville	ville
2525	.	.	,	,
2526	Granger	Granger	attend	attend
2527	Ô	Ô	votre	votre
2528	microcosme	microcosme	retour	retour
2529	de	de	,	,
2530	visions	visions	il	il
2531	fanatiques	fanatiques	peut	peut
2532	!	!	des	des
2533	«	«	demain	demain
2534	Vade	Vade	s	s
2535	retro	retro	’	’
2536	!	!	en	en
2537	»	»	fier	fier
2538	autrement	autrement	à	à
2539	,	,	la	la
2540	après	après	carte	carte
2541	vous	vous	.	.
2542	avoir	avoir	Il	Il
2543	apostrophé	apostrophé	vous	vous
2544	du	du	commande	commande
2545	bras	bras	d	d
2546	gauche	gauche	’	’
2547	,	,	acheter	acheter
2548	«	«	ici	ici
2549	Addetur	Addetur	quelque	quelque
2550	huic	huic	bagatelle	bagatelle
2551	dexter	dexter	à	à
2552	,	,	bon	bon
2553	cui	cui	marché	marché
2554	syncopa	syncopa	,	,
2555	fiet	fiet	qui	qui
2556	ut	ut	soit	soit
2557	alter	alter	rare	rare
2558	»	»	à	à
2559	et	et	Venise	Venise
2560	pour	pour	pour	pour
2561	toute	toute	en	en
2562	emplâtre	emplâtre	faire	faire
2563	de	de	un	un
2564	ces	ces	présent	présent
2565	balafres	balafres	à	à
2566	,	,	votre	votre
2567	vous	vous	oncle	oncle
2568	serez	serez	:	:
2569	médicamenté	médicamenté	c	c
2570	d	d	’	’
2571	’	’	est	est
2572	un	un	un	un
2573	«	«	couteau	couteau
2574	Sic	Sic	qu	qu
2575	volo	volo	’	’
2576	,	,	il	il
2577	sic	sic	vient	vient
2578	jubeo	jubeo	d	d
2579	,	,	’	’
2580	sit	sit	aiguiser	aiguiser
2581	pro	pro	pour	pour
2582	ratione	ratione	s	s
2583	voluntas	voluntas	’	’
2584	»	»	égorger	égorger
2585	.	.	lui	lui
2586	Loin	Loin	-	-
2587	donc	donc	même	même
2588	d	d	.	.
2589	’	’	Suivez	Suivez
2590	ici	ici	-	-
2591	,	,	moi	moi
2592	profane	profane	seulement	seulement
2593	,	,	.	.
2594	si	si	(	(
2595	vous	vous	Ils	Ils
2596	ne	ne	sortent	sortent
2597	voulez	voulez	tous	tous
2598	que	que	les	les
2599	je	je	deux	deux
2600	mette	mette	.	.
2601	en	en	)	)
2602	usage	usage	Scène	Scène
2603	pour	pour	6	6
2604	vous	vous	Châteaufort	Châteaufort
2605	punir	punir	,	,
2606	toutes	toutes	d	d
2607	les	les	’	’
2608	règles	règles	abord	abord
2609	de	de	seul	seul
2610	l	l	,	,
2611	’	’	puis	puis
2612	Arithmétique	Arithmétique	Gareau	Gareau
2613	.	.	.	.
2614	Ma	Ma	Châteaufort	Châteaufort
2615	colère	colère	(	(
2616	«	«	Entre	Entre
2617	primo	primo	du	du
2618	»	»	côté	côté
2619	,	,	opposé	opposé
2620	commencera	commencera	à	à
2621	par	par	celui	celui
2622	la	la	par	par
2623	Démonstration	Démonstration	où	où
2624	,	,	Charlot	Charlot
2625	puis	puis	ou	ou
2626	marchera	marchera	Corbineli	Corbineli
2627	ensuite	ensuite	sont	sont
2628	une	une	sortis	sortis
2629	Position	Position	.	.
2630	de	de	)	)
2631	soufflets	soufflets	Ce	Ce
2632	;	;	La	La
2633	«	«	Tremblaye	Tremblaye
2634	item	item	!	!
2635	»	»	Mort	Mort
2636	,	,	-	-
2637	une	une	diable	diable
2638	Addition	Addition	,	,
2639	de	de	de	de
2640	bastonnades	bastonnades	quelle	quelle
2641	;	;	mort	mort
2642	«	«	le	le
2643	hinc	hinc	ferons	ferons
2644	»	»	-	-
2645	,	,	nous	nous
2646	une	une	tomber	tomber
2647	Fraction	Fraction	?	?
2648	de	de	De	De
2649	bras	bras	l	l
2650	;	;	’	’
2651	«	«	étrangler	étrangler
2652	illinc	illinc	comme	comme
2653	»	»	Hercule	Hercule
2654	,	,	fit	fit
2655	une	une	Antée	Antée
2656	Soustraction	Soustraction	,	,
2657	de	de	je	je
2658	jambes	jambes	ne	ne
2659	.	.	suis	suis
2660	De	De	pas	pas
2661	là	là	bourreau	bourreau
2662	je	je	.	.
2663	ferai	ferai	Lui	Lui
2664	grêler	grêler	ferai	ferai
2665	une	une	-	-
2666	Multiplication	Multiplication	je	je
2667	de	de	avaler	avaler
2668	coups	coups	toute	toute
2669	,	,	la	la
2670	tapes	tapes	mer	mer
2671	,	,	?	?
2672	taloches	taloches	Le	Le
2673	,	,	monument	monument
2674	horions	horions	d	d
2675	,	,	’	’
2676	fendants	fendants	Aristote	Aristote
2677	,	,	est	est
2678	estocs	estocs	trop	trop
2679	,	,	illustre	illustre
2680	revers	revers	pour	pour
2681	,	,	un	un
2682	estramaçons	estramaçons	ignorant	ignorant
2683	et	et	.	.
2684	casse	casse	Dans	Dans
2685	-	-	la	la
2686	museaux	museaux	flamme	flamme
2687	si	si	,	,
2688	épouvantables	épouvantables	il	il
2689	,	,	n	n
2690	qu	qu	’	’
2691	’	’	aurait	aurait
2692	après	après	pas	pas
2693	cela	cela	le	le
2694	,	,	temps	temps
2695	l	l	de	de
2696	’	’	bien	bien
2697	œil	œil	goûter	goûter
2698	d	d	la	la
2699	’	’	mort	mort
2700	un	un	.	.
2701	Lynx	Lynx	Commanderai	Commanderai
2702	ne	ne	-	-
2703	pourra	pourra	je	je
2704	pas	pas	à	à
2705	faire	faire	la	la
2706	la	la	terre	terre
2707	moindre	moindre	de	de
2708	Division	Division	l	l
2709	,	,	’	’
2710	ni	ni	engloutir	engloutir
2711	Subdivision	Subdivision	tout	tout
2712	,	,	vif	vif
2713	de	de	?	?
2714	la	la	Non	Non
2715	plus	plus	,	,
2716	grosse	grosse	car	car
2717	parcelle	parcelle	comme	comme
2718	de	de	ces	ces
2719	votre	votre	petits	petits
2720	misérable	misérable	gentillâtres	gentillâtres
2721	individu	individu	sont	sont
2722	.	.	accoutumés	accoutumés
2723	Châteaufort	Châteaufort	de	de
2724	Et	Et	manger	manger
2725	moi	moi	leurs	leurs
2726	,	,	terres	terres
2727	chétif	chétif	,	,
2728	excommunié	excommunié	celui	celui
2729	,	,	-	-
2730	j	j	ci	ci
2731	’	’	pourrait	pourrait
2732	aurais	aurais	bien	bien
2733	déjà	déjà	manger	manger
2734	fait	fait	celle	celle
2735	sortir	sortir	qui	qui
2736	ton	ton	le	le
2737	âme	âme	couvrirait	couvrirait
2738	par	par	.	.
2739	cent	cent	De	De
2740	plaies	plaies	le	le
2741	,	,	déchirer	déchirer
2742	sans	sans	par	par
2743	la	la	morceaux	morceaux
2744	dignité	dignité	,	,
2745	de	de	ma	ma
2746	mon	mon	colère	colère
2747	Être	Être	ne	ne
2748	,	,	serait	serait
2749	qui	qui	pas	pas
2750	me	me	contente	contente
2751	défend	défend	,	,
2752	d	d	s	s
2753	’	’	’	’
2754	ôter	ôter	il	il
2755	la	la	restait	restait
2756	vie	vie	de	de
2757	à	à	ce	ce
2758	quelque	quelque	malheureux	malheureux
2759	chose	chose	un	un
2760	de	de	atome	atome
2761	moindre	moindre	après	après
2762	qu	qu	sa	sa
2763	’	’	mort	mort
2764	un	un	.	.
2765	Géant	Géant	Ô	Ô
2766	;	;	Dieux	Dieux
2767	et	et	,	,
2768	même	même	je	je
2769	je	je	suis	suis
2770	te	te	réduit	réduit
2771	pardonne	pardonne	à	à
2772	,	,	n	n
2773	à	à	’	’
2774	cause	cause	oser	oser
2775	qu	qu	pas	pas
2776	’	’	seulement	seulement
2777	infailliblement	infailliblement	lui	lui
2778	l	l	défendre	défendre
2779	’	’	de	de
2780	ignorance	ignorance	vivre	vivre
2781	de	de	parce	parce
2782	ce	ce	que	que
2783	que	que	je	je
2784	je	je	ne	ne
2785	suis	suis	sais	sais
2786	t	t	comment	comment
2787	’	’	le	le
2788	a	a	faire	faire
2789	jeté	jeté	mourir	mourir
2790	dans	dans	.	.
2791	ces	ces	Gareau	Gareau
2792	extravagances	extravagances	(	(
2793	.	.	Entrant	Entrant
2794	«	«	en	en
2795	Cependant	Cependant	scène	scène
2796	me	me	sans	sans
2797	voici	voici	voir	voir
2798	fort	fort	Châteaufort	Châteaufort
2799	en	en	.	.
2800	peine	peine	)	)
2801	,	,	V	V
2802	car	car	’	’
2803	pouvait	pouvait	là	là
2804	-	-	,	,
2805	il	il	j	j
2806	me	me	’	’
2807	méconnaître	méconnaître	pensions	pensions
2808	,	,	,	,
2809	puisque	puisque	la	la
2810	,	,	maison	maison
2811	pour	pour	de	de
2812	savoir	savoir	notre	notre
2813	mon	mon	futur	futur
2814	nom	nom	biau	biau
2815	,	,	père	père
2816	il	il	.	.
2817	ne	ne	(	(
2818	faut	faut	Apercevant	Apercevant
2819	qu	qu	Châteaufort	Châteaufort
2820	’	’	.	.
2821	être	être	)	)
2822	de	de	Eh	Eh
2823	ce	ce	!	!
2824	monde	monde	Vartigué	Vartigué
2825	?	?	,	,
2826	»	»	v	v
2827	Sachez	Sachez	’	’
2828	donc	donc	la	la
2829	,	,	de	de
2830	Messire	Messire	ces	ces
2831	Jean	Jean	mangeux	mangeux
2832	,	,	de	de
2833	que	que	petits	petits
2834	je	je	enfants	enfants
2835	suis	suis	,	,
2836	celui	celui	la	la
2837	qu	qu	végne	végne
2838	’	’	de	de
2839	on	on	la	la
2840	ne	ne	Courtille	Courtille
2841	peut	peut	:	:
2842	exterminer	exterminer	belle	belle
2843	sans	sans	montre	montre
2844	faire	faire	et	et
2845	une	une	peu	peu
2846	Épitaphe	Épitaphe	de	de
2847	à	à	rapport	rapport
2848	la	la	.	.
2849	Nature	Nature	Châteaufort	Châteaufort
2850	,	,	Où	Où
2851	et	et	vas	vas
2852	le	le	-	-
2853	Père	Père	tu	tu
2854	des	des	,	,
2855	Vaillants	Vaillants	bonhomme	bonhomme
2856	,	,	?	?
2857	puisqu	puisqu	Gareau	Gareau
2858	’	’	Tout	Tout
2859	à	à	devant	devant
2860	tous	tous	moi	moi
2861	je	je	.	.
2862	leur	leur	Châteaufort	Châteaufort
2863	ai	ai	Mais	Mais
2864	donné	donné	je	je
2865	la	la	te	te
2866	vie	vie	demande	demande
2867	.	.	:	:
2868	Granger	Granger	«	«
2869	Pardonnez	Pardonnez	Où	Où
2870	,	,	va	va
2871	grand	grand	le	le
2872	prince	prince	chemin	chemin
2873	,	,	que	que
2874	à	à	tu	tu
2875	mon	mon	fais	fais
2876	peu	peu	?	?
2877	de	de	»	»
2878	foi	foi	Gareau	Gareau
2879	.	.	Il	Il
2880	Ce	Ce	ne	ne
2881	n	n	va	va
2882	’	’	pas	pas
2883	est	est	,	,
2884	pas…	pas…	il	il
2885	Châteaufort	Châteaufort	ne	ne
2886	Relevez	Relevez	bouge	bouge
2887	-	-	.	.
2888	vous	vous	Châteaufort	Châteaufort
2889	,	,	Pauvre	Pauvre
2890	Monsieur	Monsieur	rustre	rustre
2891	le	le	!	!
2892	Curé	Curé	Ce	Ce
2893	,	,	n	n
2894	je	je	’	’
2895	suis	suis	est	est
2896	content	content	pas	pas
2897	.	.	cela	cela
2898	Choisissez	Choisissez	que	que
2899	vite	vite	je	je
2900	où	où	veux	veux
2901	vous	vous	savoir	savoir
2902	voulez	voulez	:	:
2903	régner	régner	je	je
2904	,	,	veux	veux
2905	et	et	te	te
2906	cette	cette	demander	demander
2907	main	main	si	si
2908	vous	vous	tu	tu
2909	bâtit	bâtit	as	as
2910	un	un	bien	bien
2911	Trône	Trône	du	du
2912	dont	dont	chemin	chemin
2913	l	l	à	à
2914	’	’	faire	faire
2915	Escalier	Escalier	aujourd	aujourd
2916	sera	sera	’	’
2917	fait	fait	hui	hui
2918	des	des	.	.
2919	cadavres	cadavres	Gareau	Gareau
2920	de	de	Nanain	Nanain
2921	six	six	da	da
2922	cents	cents	,	,
2923	Rois	Rois	je	je
2924	.	.	le	le
2925	Granger	Granger	trouverai	trouverai
2926	Mon	Mon	tout	tout
2927	Empire	Empire	fait	fait
2928	sera	sera	.	.
2929	plus	plus	Châteaufort	Châteaufort
2930	grand	grand	Tu	Tu
2931	que	que	parais	parais
2932	le	le	,	,
2933	monde	monde	Dieu	Dieu
2934	si	si	me	me
2935	je	je	damne	damne
2936	règne	règne	bien	bien
2937	sur	sur	gaillard	gaillard
2938	votre	votre	pour	pour
2939	cœur	cœur	n	n
2940	.	.	’	’
2941	Protégez	Protégez	avoir	avoir
2942	-	-	pas	pas
2943	moi	moi	dîné	dîné
2944	seulement	seulement	.	.
2945	contre	contre	Gareau	Gareau
2946	je	je	Dix	Dix
2947	ne	ne	nez	nez
2948	sais	sais	!	!
2949	quel	quel	Qu	Qu
2950	Gentillâtre	Gentillâtre	’	’
2951	qui	qui	en	en
2952	a	a	ferais	ferais
2953	bien	bien	-	-
2954	l	l	je	je
2955	’	’	,	,
2956	insolence	insolence	de	de
2957	de	de	dix	dix
2958	marcher	marcher	?	?
2959	sur	sur	Il	Il
2960	vos	vos	ne	ne
2961	brisées	brisées	m	m
2962	,	,	’	’
2963	et…	et…	en	en
2964	Châteaufort	Châteaufort	faut	faut
2965	Ne	Ne	qu	qu
2966	vous	vous	’	’
2967	expliquez	expliquez	un	un
2968	pas	pas	.	.
2969	,	,	Châteaufort	Châteaufort
2970	j	j	Quel	Quel
2971	’	’	docteur	docteur
2972	aurais	aurais	!	!
2973	peur	peur	Il	Il
2974	que	que	en	en
2975	mes	mes	sait	sait
2976	yeux	yeux	autant	autant
2977	en	en	que	que
2978	courroux	courroux	son	son
2979	ne	ne	curé	curé
2980	jetassent	jetassent	.	.
2981	des	des	Gareau	Gareau
2982	étincelles	étincelles	Testigué	Testigué
2983	,	,	,	,
2984	dont	dont	est	est
2985	quelqu	quelqu	-	-
2986	’	’	ce	ce
2987	une	une	à	à
2988	par	par	cause	cause
2989	mégarde	mégarde	qu	qu
2990	vous	vous	’	’
2991	pourrait	pourrait	ous	ous
2992	consumer	consumer	êtes	êtes
2993	.	.	un	un
2994	Un	Un	Monsieur	Monsieur
2995	mortel	mortel	qu	qu
2996	aura	aura	’	’
2997	donc	donc	ous	ous
2998	eu	eu	faites	faites
2999	la	la	tant	tant
3000	témérité	témérité	de	de
3001	de	de	mènes	mènes
3002	se	se	?	?
3003	chauffer	chauffer	Hé	Hé
3004	à	à	,	,
3005	même	même	si	si
3006	feu	feu	tu	tu
3007	que	que	es	es
3008	moi	moi	riche	riche
3009	,	,	,	,
3010	et	et	dène	dène
3011	je	je	deux	deux
3012	ne	ne	fois	fois
3013	punirai	punirai	.	.
3014	pas	pas	Bonnafi	Bonnafi
3015	les	les	,	,
3016	quatre	quatre	v	v
3017	Éléments	Éléments	’	’
3018	qui	qui	la	la
3019	l	l	un	un
3020	’	’	homme	homme
3021	ont	ont	bian	bian
3022	souffert	souffert	vidé	vidé
3023	?	?	,	,
3024	Mais	Mais	v	v
3025	je	je	’	’
3026	ne	ne	la	la
3027	puis	puis	un	un
3028	parler	parler	engin	engin
3029	,	,	de	de
3030	la	la	belle	belle
3031	rage	rage	déguène	déguène
3032	me	me	,	,
3033	transporte	transporte	v	v
3034	.	.	’	’
3035	Je	Je	la	la
3036	m	m	un	un
3037	’	’	biau	biau
3038	en	en	vaissiau	vaissiau
3039	vais	vais	!	!
3040	faire	faire	Par	Par
3041	pendre	pendre	la	la
3042	l	l	morgué	morgué
3043	’	’	,	,
3044	Eau	Eau	si	si
3045	,	,	j	j
3046	le	le	’	’
3047	Feu	Feu	avouas	avouas
3048	,	,	une	une
3049	la	la	sarpe	sarpe
3050	Terre	Terre	et	et
3051	et	et	un	un
3052	l	l	baton	baton
3053	’	’	je	je
3054	Air	Air	ferais	ferais
3055	,	,	un	un
3056	et	et	gentizome	gentizome
3057	songer	songer	tout	tout
3058	au	au	au	au
3059	genre	genre	queu	queu
3060	de	de	.	.
3061	mort	mort	C	C
3062	dont	dont	’	’
3063	nous	nous	est	est
3064	exterminerons	exterminerons	de	de
3065	ce	ce	la	la
3066	Pygmée	Pygmée	noblesse	noblesse
3067	qui	qui	à	à
3068	veut	veut	Maquieu	Maquieu
3069	faire	faire	.	.
3070	le	le	Furon	Furon
3071	Colosse	Colosse	,	,
3072	.	.	va	va
3073	Scène	Scène	te	te
3074	2	2	coucher	coucher
3075	Granger	Granger	,	,
3076	,	,	tu	tu
3077	Paquier	Paquier	souperas	souperas
3078	.	.	demain	demain
3079	Granger	Granger	.	.
3080	Hé	Hé	Est	Est
3081	bien	bien	-	-
3082	,	,	ce	ce
3083	«	«	donc	donc
3084	Petre	Petre	,	,
3085	»	»	pelamor	pelamor
3086	,	,	,	,
3087	ne	ne	qu	qu
3088	voilà	voilà	’	’
3089	pas	pas	ous	ous
3090	une	une	avez	avez
3091	digue	digue	un	un
3092	que	que	engin	engin
3093	je	je	de	de
3094	viens	viens	far	far
3095	d	d	au	au
3096	’	’	coté	coté
3097	opposer	opposer	,	,
3098	aux	aux	qu	qu
3099	terreurs	terreurs	’	’
3100	que	que	ous	ous
3101	me	me	faites	faites
3102	donne	donne	l	l
3103	tous	tous	’	’
3104	les	les	Obrius	Obrius
3105	jours	jours	et	et
3106	Monsieur	Monsieur	le	le
3107	de	de	Vespasien	Vespasien
3108	La	La	?	?
3109	Tremblaye	Tremblaye	Jarniguè	Jarniguè
3110	?	?	,	,
3111	Car	Car	je	je
3112	La	La	ne	ne
3113	Tremblaye	Tremblaye	sis	sis
3114	à	à	pas	pas
3115	cause	cause	un	un
3116	de	de	gniais	gniais
3117	Châteaufort	Châteaufort	:	:
3118	,	,	j	j
3119	Châteaufort	Châteaufort	’	’
3120	à	à	ai	ai
3121	cause	cause	été	été
3122	de	de	sans	sans
3123	La	La	reproche	reproche
3124	Tremblaye	Tremblaye	marguillier	marguillier
3125	,	,	,	,
3126	désisteront	désisteront	j	j
3127	de	de	’	’
3128	la	la	ai	ai
3129	poursuite	poursuite	été	été
3130	de	de	beguiau	beguiau
3131	ma	ma	,	,
3132	fille	fille	j	j
3133	.	.	’	’
3134	Ce	Ce	ai	ai
3135	sont	sont	été	été
3136	deux	deux	porte	porte
3137	poltrons	poltrons	-	-
3138	si	si	offrande	offrande
3139	éprouvés	éprouvés	,	,
3140	que	que	j	j
3141	,	,	’	’
3142	s	s	ai	ai
3143	’	’	été	été
3144	ils	ils	chasse	chasse
3145	se	se	chien	chien
3146	battent	battent	,	,
3147	jamais	jamais	j	j
3148	,	,	’	’
3149	ils	ils	ai	ai
3150	se	se	été	été
3151	demanderont	demanderont	guieu	guieu
3152	tous	tous	et	et
3153	deux	deux	guièbe	guièbe
3154	la	la	,	,
3155	vie	vie	je	je
3156	.	.	ne	ne
3157	Me	Me	sais	sais
3158	voici	voici	pas	pas
3159	cependant	cependant	qui	qui
3160	embarqué	embarqué	je	je
3161	sur	sur	sis	sis
3162	une	une	.	.
3163	mer	mer	Mais	Mais
3164	où	où	ardé	ardé
3165	la	la	de	de
3166	moitié	moitié	tout	tout
3167	du	du	ça	ça
3168	monde	monde	,	,
3169	a	a	brrr	brrr
3170	fait	fait	,	,
3171	naufrage	naufrage	j	j
3172	.	.	’	’
3173	C	C	en	en
3174	’	’	dis	dis
3175	est	est	du	du
3176	l	l	mirliro	mirliro
3177	’	’	.	.
3178	amour	amour	Châteaufort	Châteaufort
3179	chez	chez	Malheureux	Malheureux
3180	moi	moi	excommunié	excommunié
3181	,	,	,	,
3182	l	l	voilà	voilà
3183	’	’	bien	bien
3184	amour	amour	du	du
3185	dehors	dehors	haut	haut
3186	,	,	style	style
3187	l	l	.	.
3188	’	’	Gareau	Gareau
3189	amour	amour	M	M
3190	partout	partout	.	.
3191	.	.	de	de
3192	Je	Je	Marilly	Marilly
3193	n	n	m	m
3194	’	’	’	’
3195	ai	ai	appelit	appelit
3196	qu	qu	bian	bian
3197	’	’	son	son
3198	une	une	bâtar	bâtar
3199	fille	fille	.	.
3200	à	à	Il	Il
3201	marier	marier	ne	ne
3202	,	,	s	s
3203	et	et	’	’
3204	j	j	en	en
3205	’	’	est	est
3206	ai	ai	pas	pas
3207	trois	trois	falli	falli
3208	gendres	gendres	l	l
3209	prétendus	prétendus	’	’
3210	.	.	épaisseur	épaisseur
3211	L	L	d	d
3212	’	’	’	’
3213	un	un	un	un
3214	se	se	yard	yard
3215	dit	dit	qu	qu
3216	brave	brave	’	’
3217	,	,	il	il
3218	je	je	ne	ne
3219	sais	sais	m	m
3220	le	le	’	’
3221	contraire	contraire	ait	ait
3222	;	;	fait	fait
3223	l	l	apprenti	apprenti
3224	’	’	conseiller	conseiller
3225	autre	autre	.	.
3226	riche	riche	Viens	Viens
3227	,	,	ça	ça
3228	mais	mais	,	,
3229	je	je	ce	ce
3230	ne	ne	me	me
3231	sais	sais	fit	fit
3232	;	;	-	-
3233	l	l	il	il
3234	’	’	une	une
3235	autre	autre	fois	fois
3236	Gentilhomme	Gentilhomme	,	,
3237	,	,	gros	gros
3238	mais	mais	fils	fils
3239	il	il	de	de
3240	mange	mange	voleur	voleur
3241	beaucoup	beaucoup	(	(
3242	.	.	car	car
3243	Ô	Ô	j	j
3244	Nature	Nature	’	’
3245	,	,	èquious	èquious
3246	vous	vous	tout	tout
3247	croiriez	croiriez	comme	comme
3248	-	-	deux	deux
3249	vous	vous	frares	frares
3250	être	être	)	)
3251	mise	mise	,	,
3252	en	en	je	je
3253	frais	frais	veux	veux
3254	,	,	me	me
3255	si	si	fit	fit
3256	vous	vous	-	-
3257	aviez	aviez	il	il
3258	fagoté	fagoté	que	que
3259	tant	tant	tu	tu
3260	seulement	seulement	venais	venais
3261	trois	trois	autour	autour
3262	belles	belles	de	de
3263	qualités	qualités	moi	moi
3264	en	en	,	,
3265	un	un	ce	ce
3266	individu	individu	fit	fit
3267	!	!	-	-
3268	Ah	Ah	il	il
3269	!	!	,	,
3270	Pierre	Pierre	dans	dans
3271	Paquier	Paquier	la	la
3272	,	,	Turquise	Turquise
3273	le	le	,	,
3274	monde	monde	ce	ce
3275	s	s	me	me
3276	’	’	fit	fit
3277	en	en	-	-
3278	va	va	il	il
3279	renverser	renverser	.	.
3280	.	.	Oh	Oh
3281	Paquier	Paquier	!	!
3282	Tant	Tant	Ce	Ce
3283	mieux	mieux	l	l
3284	,	,	’	’
3285	car	car	y	y
3286	autrefois	autrefois	fis	fis
3287	j	j	-	-
3288	’	’	je	je
3289	entendais	entendais	,	,
3290	dire	dire	cela	cela
3291	la	la	vous	vous
3292	même	même	plait	plait
3293	chose	chose	à	à
3294	,	,	dire	dire
3295	que	que	.	.
3296	tout	tout	Non	Non
3297	était	était	est	est
3298	renversé	renversé	,	,
3299	.	.	me	me
3300	Or	Or	fit	fit
3301	,	,	-	-
3302	si	si	il	il
3303	l	l	.	.
3304	’	’	Oh	Oh
3305	on	on	si	si
3306	renverse	renverse	est	est
3307	aujourd	aujourd	,	,
3308	’	’	ce	ce
3309	hui	hui	l	l
3310	ce	ce	’	’
3311	qui	qui	y	y
3312	était	était	fis	fis
3313	renversé	renversé	-	-
3314	,	,	je	je
3315	c	c	.	.
3316	’	’	Oh	Oh
3317	est	est	!	!
3318	le	le	Ce	Ce
3319	remettre	remettre	me	me
3320	en	en	fis	fis
3321	son	son	-	-
3322	sens	sens	je	je
3323	.	.	à	à
3324	Granger	Granger	part	part
3325	Mais	Mais	moi	moi
3326	ce	ce	,	,
3327	n	n	accoute	accoute
3328	’	’	Jean	Jean
3329	est	est	:	:
3330	pas	pas	ne	ne
3331	encore	encore	faut	faut
3332	là	là	point	point
3333	ma	ma	faire	faire
3334	plus	plus	le	le
3335	grande	grande	gniais	gniais
3336	plaie	plaie	,	,
3337	;	;	faut	faut
3338	j	j	sautés	sautés
3339	’	’	.	.
3340	aime	aime	Dame	Dame
3341	,	,	je	je
3342	et	et	ne	ne
3343	mon	mon	fésè	fésè
3344	fils	fils	point	point
3345	est	est	de	de
3346	mon	mon	défigurance	défigurance
3347	rival	rival	davantage	davantage
3348	.	.	,	,
3349	Depuis	Depuis	je	je
3350	le	le	me	me
3351	jour	jour	bouti	bouti
3352	que	que	avec	avec
3353	cette	cette	ly	ly
3354	furieuse	furieuse	cahin	cahin
3355	pensée	pensée	cabra	cabra
3356	a	a	.	.
3357	pris	pris	Mais	Mais
3358	gîte	gîte	quand	quand
3359	au	au	on	on
3360	ventricule	ventricule	gn	gn
3361	de	de	’	’
3362	mon	mon	y	y
3363	cerveau	cerveau	est	est
3364	,	,	,	,
3365	je	je	on	on
3366	ne	ne	gn	gn
3367	mange	mange	’	’
3368	pour	pour	y	y
3369	toute	toute	est	est
3370	viande	viande	.	.
3371	qu	qu	Bonne	Bonne
3372	’	’	fi	fi
3373	un	un	pourtant	pourtant
3374	«	«	,	,
3375	pænitet	pænitet	je	je
3376	tædet	tædet	parais	parais
3377	miseret	miseret	un	un
3378	»	»	sot	sot
3379	.	.	baquié	baquié
3380	Ah	Ah	,	,
3381	!	!	un	un
3382	c	c	sot	sot
3383	’	’	baquié	baquié
3384	en	en	je	je
3385	est	est	paraisé	paraisé
3386	fait	fait	:	:
3387	,	,	car	car
3388	je	je	Martin	Martin
3389	me	me	Binet	Binet
3390	vais	vais	.	.
3391	pendre	pendre	Et	Et
3392	!	!	ya	ya
3393	Paquier	Paquier	à	à
3394	Là	Là	propos	propos
3395	,	,	,	,
3396	là	là	Denis	Denis
3397	,	,	le	le
3398	espérez	espérez	balafré	balafré
3399	en	en	son	son
3400	Dieu	Dieu	oncle	oncle
3401	,	,	.	.
3402	il	il	Châteaufort	Châteaufort
3403	vous	vous	Et	Et
3404	assistera	assistera	de	de
3405	.	.	grâce	grâce
3406	Il	Il	villageois	villageois
3407	assiste	assiste	achève	achève
3408	bien	bien	-	-
3409	les	les	nous	nous
3410	Allemands	Allemands	tes	tes
3411	qui	qui	aventures	aventures
3412	ne	ne	du	du
3413	sont	sont	voyage	voyage
3414	pas	pas	de	de
3415	de	de	Monsieur	Monsieur
3416	ce	ce	de	de
3417	pays	pays	Marilly	Marilly
3418	-	-	.	.
3419	ci	ci	Gareau	Gareau
3420	.	.	Ha	Ha
3421	Granger	Granger	,	,
3422	Si	Si	ho	ho
3423	je	je	ous	ous
3424	l	l	êtes	êtes
3425	’	’	pas	pas
3426	envoyais	envoyais	le	le
3427	à	à	roi	roi
3428	Venise	Venise	Minos	Minos
3429	?	?	,	,
3430	«	«	ous	ous
3431	Haud	Haud	êtes	êtes
3432	dubie	dubie	le	le
3433	»	»	roi	roi
3434	,	,	Priant	Priant
3435	c	c	.	.
3436	’	’	Ô	Ô
3437	est	est	donc	donc
3438	le	le	je	je
3439	meilleur	meilleur	voyagimes	voyagimes
3440	.	.	sur	sur
3441	C	C	l	l
3442	’	’	’	’
3443	est	est	or	or
3444	le	le	riant	riant
3445	meilleur	meilleur	,	,
3446	!	!	et	et
3447	Oh	Oh	vers	vers
3448	!	!	la	la
3449	oui	oui	mardy	mardy
3450	sans	sans	terre	terre
3451	doute	doute	aimée	aimée
3452	.	.	.	.
3453	Bien	Bien	Châteaufort	Châteaufort
3454	donc	donc	Tu	Tu
3455	dès	dès	veux	veux
3456	demain	demain	dire	dire
3457	je	je	,	,
3458	le	le	au	au
3459	mettrai	mettrai	contraire	contraire
3460	sur	sur	,	,
3461	mer	mer	vers	vers
3462	.	.	l	l
3463	Paquier	Paquier	’	’
3464	Au	Au	Orient	Orient
3465	moins	moins	sur	sur
3466	ne	ne	la	la
3467	le	le	méditerranéenne	méditerranéenne
3468	laissez	laissez	.	.
3469	pas	pas	Gareau	Gareau
3470	embarquer	embarquer	Hé	Hé
3471	sans	sans	bian	bian
3472	attacher	attacher	,	,
3473	sur	sur	je	je
